date,day_idx,bsi_z,move_ma30,sofr,tranche_return,hyg_return,afrm_return,gate_bsi,gate_move,gate_ccd2,approved,trs_cash_carry,trs_financing_drag,trs_mtm_trs,trs_mtm_hedge,trs_transaction_costs,trs_daily_pnl,naive_cash_carry,naive_mtm,naive_tx_costs,naive_htb_fee,naive_daily_pnl
2023-01-12,0,-2.338888,121.4243,0.043000,0.005642,0.005642,0.077739,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-13,1,-2.186793,121.2553,0.043000,0.000000,0.000000,0.055738,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-16,2,-2.186793,120.8237,0.043000,0.000000,0.000000,0.000000,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-17,3,-1.438453,120.5963,0.043100,-0.003693,-0.003393,0.044255,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-18,4,-2.198421,119.9800,0.043000,0.001478,0.001178,-0.034944,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-19,5,-1.997313,119.4797,0.043100,-0.006185,-0.005885,-0.056240,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-20,6,-1.940201,118.8787,0.043000,0.002273,0.001973,0.167347,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-23,7,-1.908700,117.9707,0.043000,-0.000131,-0.000131,0.080420,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-24,8,-2.024491,117.2267,0.043000,0.000656,0.000656,-0.073139,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-25,9,-2.370821,116.8093,0.043100,-0.000431,-0.000131,-0.012570,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-26,10,-2.571387,116.5767,0.043000,0.002793,0.002493,0.015559,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-27,11,-2.758305,116.1450,0.043000,-0.003011,-0.003011,0.130919,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-30,12,-2.439416,115.6600,0.043000,-0.005515,-0.005515,-0.070197,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-01-31,13,-2.666563,114.9807,0.043100,0.007490,0.007790,0.072185,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-01,14,-2.725712,114.3917,0.043100,0.005633,0.005633,0.094503,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-02,15,-2.598491,113.9153,0.045600,-0.001768,0.005732,0.193002,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-03,16,-2.429556,113.4427,0.045500,-0.010192,-0.010492,-0.141438,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-06,17,-1.933958,113.1913,0.045500,-0.006414,-0.006414,-0.062810,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-07,18,-2.047583,112.4667,0.045500,0.003557,0.003557,0.011758,0,0,1,0,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-08,19,-2.145526,111.8227,0.045500,-0.004201,-0.004201,-0.069146,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-09,20,-1.987449,111.2293,0.045500,-0.006460,-0.006460,-0.170412,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
2023-02-10,21,-1.512574,110.8300,0.045500,-0.007696,-0.007696,-0.057938,0,0,1,0,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000
