date,day_idx,bsi_z,move_ma30,sofr,tranche_return,hyg_return,afrm_return,gate_bsi,gate_move,gate_ccd2,approved,trs_cash_carry,trs_financing_drag,trs_mtm_trs,trs_mtm_hedge,trs_transaction_costs,trs_daily_pnl,naive_cash_carry,naive_mtm,naive_tx_costs,naive_htb_fee,naive_daily_pnl
2022-07-29,0,-1.740059,133.6873,0.022700,0.003250,0.002950,0.039102,0,1,1,0,0.00009008,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009008,0.00009008,-0.00000000,-0.00000000,-0.00000000,0.00009008
2022-08-01,1,-1.491510,133.2457,0.022800,-0.003881,-0.003581,0.012295,0,1,1,0,0.00009048,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009048,0.00009048,-0.00000000,-0.00000000,-0.00000000,0.00009048
2022-08-02,2,-0.986436,132.9230,0.023000,-0.005221,-0.004621,0.036069,0,1,1,0,0.00009129,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009129,0.00009129,-0.00000000,-0.00000000,-0.00000000,0.00009129
2022-08-03,3,-1.401818,132.6597,0.022900,0.009069,0.008769,0.132860,0,1,1,0,0.00009090,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009090,0.00009090,-0.00000000,-0.00000000,-0.00000000,0.00009090
2022-08-04,4,-1.481549,132.4793,0.022900,0.002684,0.002684,0.020696,0,1,1,0,0.00009091,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009091,0.00009091,-0.00000000,-0.00000000,-0.00000000,0.00009091
2022-08-05,5,-1.363518,132.3320,0.022800,-0.004799,-0.005099,0.026114,0,1,1,0,0.00009052,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009052,0.00009052,-0.00000000,-0.00000000,-0.00000000,0.00009052
2022-08-08,6,-1.273725,132.0287,0.022800,0.000897,0.000897,0.044910,0,1,1,0,0.00009053,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009053,0.00009053,-0.00000000,-0.00000000,-0.00000000,0.00009053
2022-08-09,7,-1.215764,131.6920,0.022900,-0.007725,-0.007425,-0.066476,0,1,1,0,0.00009093,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009093,0.00009093,0.00000000,-0.00000000,-0.00000000,0.00009093
2022-08-10,8,-1.791573,131.1863,0.022800,0.015262,0.014962,0.128913,0,1,1,0,0.00009054,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009054,0.00009054,-0.00000000,-0.00000000,-0.00000000,0.00009054
2022-08-11,9,-2.018555,130.3733,0.022800,-0.005719,-0.005719,0.005166,0,1,1,0,0.00009055,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009055,0.00009055,-0.00000000,-0.00000000,-0.00000000,0.00009055
2022-08-12,10,-2.276365,129.1103,0.022800,0.008947,0.008947,0.060049,0,1,1,0,0.00009056,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009056,0.00009056,-0.00000000,-0.00000000,-0.00000000,0.00009056
2022-08-15,11,-1.807690,128.0987,0.022900,-0.002073,-0.001773,-0.019648,0,1,1,0,0.00009096,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009096,0.00009096,0.00000000,-0.00000000,-0.00000000,0.00009096
2022-08-16,12,-1.621079,126.7877,0.022900,-0.004695,-0.004695,0.038782,0,1,1,0,0.00009097,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009097,0.00009097,-0.00000000,-0.00000000,-0.00000000,0.00009097
2022-08-17,13,-1.576877,125.6730,0.022900,-0.010328,-0.010328,-0.063142,0,1,1,0,0.00009098,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009098,0.00009098,0.00000000,-0.00000000,-0.00000000,0.00009098
2022-08-18,14,-1.428226,124.6913,0.022800,0.001846,0.001546,-0.043862,0,1,1,0,0.00009059,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00009059,0.00009059,0.00000000,-0.00000000,-0.00000000,0.00009059
2022-08-19,15,-1.210155,123.9767,0.022800,-0.010162,-0.010162,-0.135105,0,1,1,0,0.00009060,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00009060,0.00009060,0.00000000,-0.00000000,-0.00000000,0.00009060
