date,day_idx,bsi_z,move_ma30,sofr,tranche_return,hyg_return,afrm_return,gate_bsi,gate_move,gate_ccd2,approved,trs_cash_carry,trs_financing_drag,trs_mtm_trs,trs_mtm_hedge,trs_transaction_costs,trs_daily_pnl,naive_cash_carry,naive_mtm,naive_tx_costs,naive_htb_fee,naive_daily_pnl
2024-04-24,0,0.292146,100.7957,0.053100,-0.002216,-0.002216,-0.020757,0,1,1,0,0.00021071,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021071,0.00021071,0.00000000,-0.00000000,-0.00000000,0.00021071
2024-04-25,1,0.174538,101.1250,0.053100,-0.002090,-0.002090,-0.013404,0,1,1,0,0.00021076,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021076,0.00021076,0.00000000,-0.00000000,-0.00000000,0.00021076
2024-04-26,2,0.055512,101.3443,0.053200,0.002842,0.003142,0.053081,0,1,1,0,0.00021120,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021120,0.00021120,-0.00000000,-0.00000000,-0.00000000,0.00021120
2024-04-29,3,-0.218786,101.4293,0.053200,0.003002,0.003002,0.002700,0,1,1,0,0.00021124,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021124,0.00021124,-0.00000000,-0.00000000,-0.00000000,0.00021124
2024-04-30,4,0.264800,101.6783,0.053400,-0.007887,-0.007287,-0.046080,0,1,1,0,0.00021208,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00021208,0.00021208,0.00000000,-0.00000000,-0.00000000,0.00021208
2024-05-01,5,0.083679,101.9423,0.053200,0.000600,0.000000,0.007528,0,1,1,0,0.00021133,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021133,0.00021133,-0.00000000,-0.00000000,-0.00000000,0.00021133
2024-05-02,6,0.124281,102.2717,0.053100,0.006461,0.006161,0.072229,0,1,1,0,0.00021098,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021098,0.00021098,-0.00000000,-0.00000000,-0.00000000,0.00021098
2024-05-03,7,-0.413938,102.4357,0.053100,0.004169,0.004169,0.014228,0,1,1,0,0.00021103,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021103,0.00021103,-0.00000000,-0.00000000,-0.00000000,0.00021103
2024-05-06,8,-0.920381,102.5110,0.053100,0.001168,0.001168,0.031205,0,1,1,0,0.00021107,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021107,0.00021107,-0.00000000,-0.00000000,-0.00000000,0.00021107
2024-05-07,9,-0.427285,102.7580,0.053100,0.000130,0.000130,-0.031094,0,1,1,0,0.00021111,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00021111,0.00021111,0.00000000,-0.00000000,-0.00000000,0.00021111
